species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
ALB,FRE,TOTAL,EUR_T,MT,MT	3595.781 	2748.449 	3818.048 	3343.547 	3110 	2174 	5043.24 	2620 	3623.65 	2842 	2770 	2229.2103 	: 	: 	: 	: 
ALB,FRE,TOTAL,EUR_T,TOTAL,MT	3595.781 	2748.449 	3818.048 	3343.547 	3110 	2174 	5043.24 	2620 	3623.65 	2842 	2770 	2229.2103 	: 	: 	: 	: 
ALB,FRE,TOTAL,TPW,EU,MT	103.601 	3.224 	56.354 	37.181 	62.0243 	29.098 	18.57 	4.9 	2.45 	1.436 	4.7 	1.5 	: 	: 	: 	: 
ALB,FRE,TOTAL,TPW,MT,MT	103.601 	3.224 	56.354 	37.181 	62.0243 	29.098 	18.57 	4.9 	2.45 	1.436 	4.7 	1.5 	: 	: 	: 	: 
ALB,FRE,TOTAL,TPW,TOTAL,MT	103.601 	3.224 	56.354 	37.181 	62.0243 	29.098 	18.57 	4.9 	2.45 	1.436 	4.7 	1.5 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR,EU,MT	372526.5074 	8860.9996 	215162.277 	124316.421 	192895.4841 	63258.9433 	93652.9668 	12838 	8877.9425 	4081.112 	13019 	3343.8155 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR,MT,MT	372526.5074 	8860.9996 	215162.277 	124316.421 	192895.4841 	63258.9433 	93652.9668 	12838 	8877.9425 	4081.112 	13019 	3343.8155 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR,TOTAL,MT	372526.5074 	8860.9996 	215162.277 	124316.421 	192895.4841 	63258.9433 	93652.9668 	12838 	8877.9425 	4081.112 	13019 	3343.8155 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR_T,EU,MT	3595.781 	2748.449 	3818.048 	3343.547 	3110 	2174 	5043.24 	2620 	3623.65 	2842 	2770 	2229.2103 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR_T,MT,MT	3595.781 	2748.449 	3818.048 	3343.547 	3110 	2174 	5043.24 	2620 	3623.65 	2842 	2770 	2229.2103 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,EUR_T,TOTAL,MT	3595.781 	2748.449 	3818.048 	3343.547 	3110 	2174 	5043.24 	2620 	3623.65 	2842 	2770 	2229.2103 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,TPW,EU,MT	103.601 	3.224 	56.354 	37.181 	62.0243 	29.098 	18.57 	4.9 	2.45 	1.436 	4.7 	1.5 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,TPW,MT,MT	103.601 	3.224 	56.354 	37.181 	62.0243 	29.098 	18.57 	4.9 	2.45 	1.436 	4.7 	1.5 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,TPW,TOTAL,MT	103.601 	3.224 	56.354 	37.181 	62.0243 	29.098 	18.57 	4.9 	2.45 	1.436 	4.7 	1.5 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR,EU,MT	372526.5074 	8860.9996 	215162.277 	124316.421 	192895.4841 	63258.9433 	93652.9668 	12838 	8877.9425 	4081.112 	13019 	3343.8155 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR,MT,MT	372526.5074 	8860.9996 	215162.277 	124316.421 	192895.4841 	63258.9433 	93652.9668 	12838 	8877.9425 	4081.112 	13019 	3343.8155 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR,TOTAL,MT	372526.5074 	8860.9996 	215162.277 	124316.421 	192895.4841 	63258.9433 	93652.9668 	12838 	8877.9425 	4081.112 	13019 	3343.8155 	: 	: 	: 	: 
