species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ABK,FRE_WHL,TOTAL,TPW,TOTAL,LV	0.37 	0.16 	0.15 	4.9 	1.4 	0.49 	0.47 	1.7 	1.2 	1.4 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR,EU,LV	77.7 	33.6 	54 	1764 	434 	119.3239 	134.6127 	698.0037 	1134.4716 	626.8952 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR,LV,LV	77.7 	33.6 	54 	1764 	434 	119.3239 	134.6127 	698.0037 	1134.4716 	626.8952 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR,TOTAL,LV	77.7 	33.6 	54 	1764 	434 	119.3239 	134.6127 	698.0037 	1134.4716 	626.8952 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR_T,EU,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	945.393 	447.7823 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR_T,LV,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	945.393 	447.7823 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR_T,TOTAL,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	945.393 	447.7823 	: 	: 	: 	: 
ABK,TOTAL,HCN,TPW,EU,LV	0.37 	0.16 	0.15 	4.9 	1.4 	0.49 	0.47 	1.7 	1.2 	1.4 	: 	: 	: 	: 
ABK,TOTAL,HCN,TPW,LV,LV	0.37 	0.16 	0.15 	4.9 	1.4 	0.49 	0.47 	1.7 	1.2 	1.4 	: 	: 	: 	: 
ABK,TOTAL,HCN,TPW,TOTAL,LV	0.37 	0.16 	0.15 	4.9 	1.4 	0.49 	0.47 	1.7 	1.2 	1.4 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR,EU,LV	77.7 	33.6 	54 	1764 	434 	119.3239 	134.6127 	698.0037 	1134.4716 	626.8952 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR,LV,LV	77.7 	33.6 	54 	1764 	434 	119.3239 	134.6127 	698.0037 	1134.4716 	626.8952 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR,TOTAL,LV	77.7 	33.6 	54 	1764 	434 	119.3239 	134.6127 	698.0037 	1134.4716 	626.8952 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR_T,EU,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	945.393 	447.7823 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR_T,LV,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	945.393 	447.7823 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR_T,TOTAL,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	945.393 	447.7823 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,TPW,EU,LV	0.37 	0.16 	0.15 	4.9 	1.4 	0.49 	0.47 	1.7 	1.2 	1.4 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,TPW,LV,LV	0.37 	0.16 	0.15 	4.9 	1.4 	0.49 	0.47 	1.7 	1.2 	1.4 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,TPW,TOTAL,LV	0.37 	0.16 	0.15 	4.9 	1.4 	0.49 	0.47 	1.7 	1.2 	1.4 	: 	: 	: 	: 
ACC,FRE,HCN,EUR,EU,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE,HCN,EUR,LV,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE,HCN,EUR,TOTAL,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE,HCN,EUR_T,EU,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE,HCN,EUR_T,LV,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE,HCN,EUR_T,TOTAL,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE,HCN,TPW,EU,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE,HCN,TPW,LV,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE,HCN,TPW,TOTAL,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR,EU,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR,LV,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR,TOTAL,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR_T,EU,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR_T,LV,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE,TOTAL,EUR_T,TOTAL,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE,TOTAL,TPW,EU,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE,TOTAL,TPW,LV,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE,TOTAL,TPW,TOTAL,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,EUR,EU,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,EUR,LV,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,EUR,TOTAL,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,EUR_T,EU,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,EUR_T,LV,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,EUR_T,TOTAL,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,TPW,EU,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,TPW,LV,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE_WHL,HCN,TPW,TOTAL,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
